8222,201E,0010000000011110
19856,4D90,0100110110010000
0,0000,0000000000000000
0,0000,0000000000000000
0,0000,0000000000000000
2944,0B80,0000101110000000
11721,2DC9,0010110111001001
-12283,D005,1101000000000101
-28672,9000,1001000000000000
3529,0DC9,0000110111001001
-12288,D000,1101000000000000
0,0000,0000000000000000
2048,0800,0000100000000000
8196,2004,0010000000000100
-24572,A004,1010000000000100
-4092,F004,1111000000000100
